Customer Segment	RFM Score	M_quantile	F_quantile	R_quantitle	last_to_present	Total Paid	CustomerID	Quantity	InvoiceNo
Normal	133	3	3	1	74	558.7	12987	219	28
Normal	333	3	3	3	237	314.45	16193	219	19
Best Customer	111	1	1	1	3	5659.98	17049	2676	318
Normal	133	3	3	1	55	447.68	14780	310	27
Highest Paying Customer	141	1	4	1	68	4507.01	15299	2948	7
Normal	333	3	3	3	183	506.19	16614	223	26
Newest Customer	143	3	4	1	53	352.7	15678	184	12
Normal	344	4	4	3	281	222.99	13382	131	15
Newest Customer	144	4	4	1	38	176.68	17947	168	9
Best Customer	111	1	1	1	4	17159.52	13881	10118	178
Highest Paying Customer	121	1	2	1	33	2328.97	15785	1612	83
Normal	123	3	2	1	30	325.96	12844	125	52
Loyal Customer	112	2	1	1	2	1093.65	13521	736	436
Best Customer	111	1	1	1	12	3945	17651	3112	232
Loyal Customer	112	2	1	1	5	1510.06	16910	886	547
Best Customer	111	1	1	1	50	2965.69	16497	1396	136
Newest Customer	143	3	4	1	76	322.41	16342	157	15
Normal	122	2	2	1	20	690.34	16212	244	41
Normal	132	2	3	1	52	704.25	17934	478	21
Normal	344	4	4	3	198	144.8	12974	24	8
Normal	133	3	3	1	4	312.62	15318	642	33
Normal	333	3	3	3	186	307.72	13395	336	21
Normal	122	2	2	1	30	723.21	17521	519	45
Normal	133	3	3	1	80	322.8	16627	162	20
Newest Customer	143	3	4	1	44	306.45	15659	111	11
Newest Customer	144	4	4	1	59	255.9	14761	118	11
Highest Paying Customer	131	1	3	1	8	3192.54	13868	1964	33
Newest Customer	143	3	4	1	54	417.6	16737	288	1
Normal	333	3	3	3	332	492.65	14270	197	29
Normal	122	2	2	1	51	1070.65	13761	642	70
Normal	234	4	3	2	163	203.86	17891	393	34
Normal	122	2	2	1	71	1268.98	14916	1136	77
Normal	132	2	3	1	23	852.15	16070	457	33
Best Customer	111	1	1	1	3	3507.71	14395	1693	350
Normal	124	4	2	1	55	292.72	15545	163	81
Normal	233	3	3	2	139	501.14	13116	291	30
Best Customer	111	1	1	1	11	6717.34	13576	2646	126
Normal	134	4	3	1	4	168.63	14578	240	24
Normal	133	3	3	1	44	324.24	18261	146	21
Best Customer	111	1	1	1	5	10504.49	17706	3899	382
Normal	223	3	2	2	104	618.09	13301	345	81
Normal	334	4	3	3	239	168.4	17367	150	34
Normal	344	4	4	3	219	185.4	14199	28	2
Normal	223	3	2	2	114	371.56	15472	251	76
Normal	134	4	3	1	100	288.42	16808	196	23
Loyal Customer	112	2	1	1	6	1026.42	13956	491	152
Best Customer	111	1	1	1	19	2047	17625	1198	315
Normal	122	2	2	1	85	777.53	13563	209	49
Normal	344	4	4	3	275	101.34	18086	106	7
Normal	124	4	2	1	54	161.94	16932	87	53
Loyal Customer	113	3	1	1	22	617.99	14593	332	152
Highest Paying Customer	131	1	3	1	62	1780.59	16380	1524	32
Normal	122	2	2	1	13	974.04	15747	480	93
Normal	333	3	3	3	240	429.6	15230	351	23
Normal	133	3	3	1	89	544.3	16475	319	28
Normal	333	3	3	3	310	558.32	13800	331	33
Best Customer	111	1	1	1	10	3645.43	16712	1749	447
Normal	243	3	4	2	143	329.65	17866	174	9
Loyal Customer	112	2	1	1	2	729.27	13077	863	112
Newest Customer	144	4	4	1	6	163.62	14354	210	9
Newest Customer	144	4	4	1	82	52.83	15504	33	13
Normal	322	2	2	3	184	925.71	14231	409	50
Normal	344	4	4	3	254	58.49	14957	34	12
Normal	133	3	3	1	30	439.66	16025	338	28
Newest Customer	144	4	4	1	99	89.06	14436	129	9
Normal	122	2	2	1	39	1079.66	13726	1054	42
Normal	222	2	2	2	108	1465.32	14875	558	47
Normal	134	4	3	1	12	114.34	17852	53	24
Best Customer	111	1	1	1	72	1858.96	14305	1089	105
Normal	344	4	4	3	235	113.5	17217	24	9
Normal	122	2	2	1	34	971.76	13155	497	85
Newest Customer	144	4	4	1	5	90.04	16597	184	7
Normal	133	3	3	1	8	497.56	17495	229	27
Normal	122	2	2	1	11	1006.8	13429	1390	67
Best Customer	111	1	1	1	9	3603.21	16242	1982	294
Best Customer	111	1	1	1	4	6065.69	14735	2264	194
Normal	122	2	2	1	18	1063.9	12936	559	62
Normal	133	3	3	1	1	563.94	15344	116	26
Normal	234	4	3	2	172	73.78	17960	41	26
Best Customer	111	1	1	1	10	16587.09	12921	9526	720
Best Customer	111	1	1	1	19	2298.93	15105	1211	101
Normal	344	4	4	3	243	185.65	17574	77	8
Best Customer	111	1	1	1	4	1625.05	16987	402	129
Normal	122	2	2	1	5	942.26	14075	754	43
Normal	122	2	2	1	16	1041.68	13719	609	60
Highest Paying Customer	221	1	2	2	123	1688.29	13162	1713	79
Loyal Customer	112	2	1	1	4	1508.76	16016	620	235
Highest Paying Customer	121	1	2	1	47	1611.59	14312	1012	87
Best Customer	111	1	1	1	11	14389.9	14866	6752	99
Normal	122	2	2	1	27	761.74	15599	718	52
Normal	344	4	4	3	240	116.01	17601	103	9
Newest Customer	143	3	4	1	18	308.74	16956	114	16
Newest Customer	143	3	4	1	11	420.3	15206	162	9
Normal	133	3	3	1	86	631.34	13539	320	37
Newest Customer	144	4	4	1	61	200.14	13980	172	11
Normal	334	4	3	3	198	211.77	16356	93	31
Highest Paying Customer	131	1	3	1	38	6814.64	12830	9848	38
Newest Customer	144	4	4	1	88	266.97	16451	120	14
Normal	124	4	2	1	20	236.3	18110	86	46
Newest Customer	143	3	4	1	68	415.2	14333	58	15
Loyal Customer	113	3	1	1	13	615.39	16005	300	218
Best Customer	111	1	1	1	6	3062.4	14456	2908	970
Normal	233	3	3	2	120	645.65	14855	267	20
Highest Paying Customer	121	1	2	1	8	3957.78	13183	2208	94
Normal	123	3	2	1	55	319.61	16674	188	98
Newest Customer	144	4	4	1	52	298.4	17824	408	13
Newest Customer	144	4	4	1	52	112.46	15610	66	6
Normal	344	4	4	3	205	171.45	17245	75	9
Highest Paying Customer	131	1	3	1	73	6617.65	16182	3791	28
Normal	333	3	3	3	191	455.25	16529	198	30
Normal	244	4	4	2	120	254.1	15689	84	9
Newest Customer	144	4	4	1	72	100.8	17427	34	2
Normal	244	4	4	2	167	131.45	14795	17	6
Normal	233	3	3	2	107	425	17134	102	24
Best Customer	111	1	1	1	12	5655.91	13004	4822	404
Normal	122	2	2	1	16	1572.71	17671	772	53
Loyal Customer	112	2	1	1	2	1388.37	15453	845	286
Normal	134	4	3	1	58	171.59	16773	171	26
Newest Customer	144	4	4	1	32	276.56	13272	96	15
Loyal Customer	112	2	1	1	20	1567.69	15906	544	150
Highest Paying Customer	121	1	2	1	5	2633.85	17402	701	59
Loyal Customer	112	2	1	1	13	1131.88	13610	516	226
Normal	344	4	4	3	248	123.1	15917	42	12
Normal	334	4	3	3	276	122.54	14165	54	25
Normal	343	3	4	3	249	594	15442	120	2
Normal	122	2	2	1	23	696.41	17397	254	92
Best Customer	111	1	1	1	51	3178.17	17672	1690	110
Best Customer	111	1	1	1	4	6802.76	15023	2871	562
Best Customer	111	1	1	1	25	2024.45	14544	1543	114
Normal	124	4	2	1	38	217.38	13271	253	96
Newest Customer	144	4	4	1	75	245.94	16778	194	16
Normal	333	3	3	3	288	389.5	13345	141	20
Best Customer	111	1	1	1	5	2088.6	18044	1033	127
Normal	344	4	4	3	202	143.1	15705	62	6
Normal	122	2	2	1	13	778.94	17411	306	41
Normal	132	2	3	1	50	1212.84	13918	1140	30
Normal	132	2	3	1	5	874.59	16513	407	35
Highest Paying Customer	121	1	2	1	72	2059.45	14409	1230	54
Churn Customer	444	4	4	4	374	79.6	13747	8	1
Normal	133	3	3	1	55	362.06	16052	282	34
Loyal Customer	112	2	1	1	23	1400.44	15563	1501	113
Normal	344	4	4	3	190	39.12	16659	72	2
Normal	133	3	3	1	26	332.66	14902	218	20
Normal	133	3	3	1	31	595.25	14284	161	32
Highest Paying Customer	121	1	2	1	17	5411.91	17809	2057	61
Highest Paying Customer	121	1	2	1	86	1793.58	13134	1059	98
Newest Customer	144	4	4	1	11	213.96	14601	168	7
Normal	343	3	4	3	319	585	15222	440	5
Best Customer	111	1	1	1	53	3049.88	16940	2169	305
Normal	123	3	2	1	34	367.93	16372	166	97
Best Customer	111	1	1	1	11	2364.25	15755	1427	141
Best Customer	111	1	1	1	74	4149.28	13555	2660	136
Highest Paying Customer	121	1	2	1	82	3017.3	18094	2518	70
Newest Customer	142	2	4	1	22	1372.8	14434	368	12
Normal	323	3	2	3	311	426.79	17223	112	49
Normal	242	2	4	2	136	657.9	16696	146	10
Loyal Customer	112	2	1	1	24	725.11	15584	314	123
Highest Paying Customer	121	1	2	1	50	1741.22	13157	1439	87
Normal	333	3	3	3	243	310.26	14311	146	20
Normal	222	2	2	2	117	799.9	13720	501	43
Loyal Customer	113	3	1	1	93	548.94	16031	423	100
Highest Paying Customer	411	1	1	4	373	5391.21	17850	1733	297
Normal	134	4	3	1	30	183.44	13460	286	17
Loyal Customer	112	2	1	1	3	1479.22	17590	828	201
Normal	133	3	3	1	51	457.72	15121	199	28
Best Customer	111	1	1	1	2	3292.14	14702	1454	347
Normal	334	4	3	3	187	160.71	15852	48	22
Normal	232	2	3	2	150	673.1	18121	450	32
Normal	123	3	2	1	39	357.21	16971	72	41
Normal	333	3	3	3	197	559.87	16275	336	33
Normal	344	4	4	3	267	183.6	14059	128	8
Normal	123	3	2	1	19	612.01	15645	256	52
Normal	344	4	4	3	183	105.84	16581	134	9
Highest Paying Customer	121	1	2	1	34	2003.85	17082	1049	81
Normal	423	3	2	4	373	353.19	17976	106	65
Normal	344	4	4	3	204	255.12	16226	192	8
Highest Paying Customer	221	1	2	2	130	1595.48	13850	944	93
Normal	122	2	2	1	6	1387.79	12952	653	79
Normal	343	3	4	3	227	305.28	18220	288	2
Normal	122	2	2	1	18	827.83	13681	360	57
Normal	344	4	4	3	187	124.57	16849	33	8
Best Customer	111	1	1	1	12	1797.78	13196	1224	110
Normal	244	4	4	2	113	71.4	17747	12	1
Normal	333	3	3	3	216	457.81	15092	135	26
Normal	122	2	2	1	45	792.11	15990	443	52
Normal	122	2	2	1	72	925.85	14475	447	42
Best Customer	111	1	1	1	32	6911.44	16187	5048	295
Normal	133	3	3	1	24	414.76	12993	240	27
Normal	122	2	2	1	17	745.06	14790	699	46
Normal	333	3	3	3	254	388.45	17438	103	17
Normal	243	3	4	2	162	345.3	17123	246	9
Normal	133	3	3	1	90	378.64	13372	159	23
Normal	122	2	2	1	30	939.78	15289	1008	58
Newest Customer	143	3	4	1	82	523	18017	300	3
Newest Customer	144	4	4	1	32	71	17022	108	7
Best Customer	111	1	1	1	15	7561.68	18172	3184	189
Normal	344	4	4	3	285	154.99	14046	460	14
Highest Paying Customer	121	1	2	1	53	2354.25	15140	1572	80
Normal	123	3	2	1	61	555.89	16385	261	59
Normal	133	3	3	1	61	422.64	13473	266	21
Highest Paying Customer	121	1	2	1	44	1612.69	15791	731	75
Best Customer	111	1	1	1	5	3754.27	16904	2034	710
Newest Customer	144	4	4	1	31	76.8	13992	64	5
Normal	132	2	3	1	71	1118.99	12842	547	34
Normal	122	2	2	1	37	1207.56	17653	1409	44
Newest Customer	144	4	4	1	10	170.16	18058	88	3
Normal	133	3	3	1	15	411.41	15186	215	19
Normal	222	2	2	2	107	1431.93	16503	569	84
Best Customer	111	1	1	1	34	2287.51	13527	1692	223
Normal	222	2	2	2	179	711.79	17179	290	80
Loyal Customer	112	2	1	1	71	1521.76	13764	932	208
Normal	222	2	2	2	163	1516.24	14267	530	55
Loyal Customer	112	2	1	1	72	1119.81	17894	405	193
Normal	122	2	2	1	36	1227.43	14913	1743	87
Best Customer	111	1	1	1	1	12245.96	13113	3050	201
Normal	333	3	3	3	267	409.98	15695	212	22
Normal	133	3	3	1	6	593.75	16535	356	31
Normal	233	3	3	2	129	524.92	17429	624	39
Normal	344	4	4	3	319	120.95	13002	73	7
Normal	344	4	4	3	335	157.09	17128	76	14
Best Customer	111	1	1	1	3	2465.48	15750	1786	293
Highest Paying Customer	131	1	3	1	8	3515.68	13953	2724	20
Loyal Customer	112	2	1	1	41	874.71	13566	575	176
Normal	342	2	4	3	268	676.2	16377	1500	5
Newest Customer	144	4	4	1	82	75.75	17628	79	5
Normal	133	3	3	1	26	331	16478	224	17
Normal	122	2	2	1	4	1295.39	16929	929	77
Normal	122	2	2	1	37	1219.4	15227	750	58
Highest Paying Customer	131	1	3	1	9	1690.26	15380	376	36
Normal	244	4	4	2	124	175.2	17331	16	1
Best Customer	111	1	1	1	4	5509.12	18225	3244	271
Best Customer	111	1	1	1	17	3104.17	14099	2179	250
Normal	133	3	3	1	23	504.8	15081	190	33
Normal	243	3	4	2	114	355.11	17742	89	15
Newest Customer	144	4	4	1	64	256.38	13806	56	10
Normal	344	4	4	3	331	250	15510	2	1
Normal	232	2	3	2	130	919.61	13075	485	22
Normal	423	3	2	4	370	623.75	16718	413	45
Normal	132	2	3	1	80	701.23	14356	277	33
Normal	343	3	4	3	249	336.96	16105	330	13
Normal	133	3	3	1	54	342.63	17201	268	40
Normal	123	3	2	1	18	598.76	14467	278	90
Normal	324	4	2	3	327	248.42	18212	101	43
Newest Customer	142	2	4	1	64	910	13689	512	6
Newest Customer	144	4	4	1	12	114.6	13188	25	2
Normal	343	3	4	3	362	418.92	15361	336	7
Best Customer	111	1	1	1	37	3089.97	15998	2041	506
Normal	342	2	4	3	334	876	15100	80	3
Normal	133	3	3	1	33	527.05	17623	265	33
Normal	134	4	3	1	62	167.67	18088	109	39
Loyal Customer	113	3	1	1	24	650.43	16469	273	182
Loyal Customer	112	2	1	1	83	1320.56	16370	647	228
Newest Customer	144	4	4	1	88	96.6	15216	28	2
Highest Paying Customer	121	1	2	1	16	16569.5	14607	11766	86
Best Customer	111	1	1	1	9	2736.38	16938	2540	241
Normal	122	2	2	1	66	714.42	15757	491	45
Newest Customer	144	4	4	1	22	169.55	13962	87	11
Normal	133	3	3	1	29	584.06	13557	546	34
Normal	244	4	4	2	180	110.75	17349	112	9
Newest Customer	144	4	4	1	26	161.64	15458	156	7
Highest Paying Customer	121	1	2	1	8	2237.77	14560	1260	74
Normal	133	3	3	1	53	396.97	13594	359	26
Normal	244	4	4	2	160	156.91	15007	69	12
Normal	133	3	3	1	52	341.7	16826	158	22
Loyal Customer	113	3	1	1	17	363.88	15901	384	116
Normal	122	2	2	1	27	1195.94	17720	576	50
Best Customer	111	1	1	1	17	3539.37	13448	1660	195
Loyal Customer	112	2	1	1	4	1438.82	14071	995	324
Best Customer	111	1	1	1	13	1931.25	16983	1379	148
Normal	243	3	4	2	129	594	12917	120	2
Normal	342	2	4	3	213	931.5	18133	1350	1
Normal	344	4	4	3	192	133.56	16424	88	5
Best Customer	111	1	1	1	5	16387.57	15856	11005	645
Loyal Customer	112	2	1	1	3	1429.24	16271	1038	133
Normal	344	4	4	3	219	143.46	17578	138	5
Normal	122	2	2	1	15	1551.78	15117	1948	79
Normal	123	3	2	1	4	384.52	17250	168	57
Highest Paying Customer	221	1	2	2	108	2157.73	14407	1415	73
Normal	122	2	2	1	3	1025.44	14904	1985	69
Loyal Customer	112	2	1	1	24	1374.87	16669	888	160
Normal	133	3	3	1	29	473.65	15557	219	20
Normal	344	4	4	3	239	30.6	13120	12	1
Normal	233	3	3	2	122	302.25	16292	191	17
Newest Customer	144	4	4	1	8	104	18174	50	1
Loyal Customer	112	2	1	1	27	652.82	14044	308	209
Normal	122	2	2	1	30	897.62	17537	700	75
Normal	122	2	2	1	45	954.09	15835	439	50
Normal	344	4	4	3	323	94.36	16387	44	4
Newest Customer	143	3	4	1	72	498.95	14681	76	7
Normal	322	2	2	3	192	1431.78	13475	1012	86
Normal	133	3	3	1	47	498.74	15142	365	26
Loyal Customer	112	2	1	1	83	1285.04	17802	752	140
Normal	122	2	2	1	3	758.29	15568	461	53
Best Customer	111	1	1	1	85	2388.75	13141	1548	135
Normal	122	2	2	1	10	1237.85	14893	799	73
Normal	134	4	3	1	43	290.66	16648	281	19
Best Customer	111	1	1	1	4	1937.25	14418	1711	124
Newest Customer	144	4	4	1	41	166.2	14295	84	5
Loyal Customer	112	2	1	1	6	731.9	13736	497	191
Normal	134	4	3	1	51	259.35	17125	291	40
Normal	432	2	3	4	372	754.87	13370	343	39
Normal	123	3	2	1	19	365.76	17432	207	48
Normal	333	3	3	3	197	455.88	12999	342	28
Newest Customer	144	4	4	1	27	289.99	14784	237	15
Newest Customer	144	4	4	1	16	215.48	16189	134	11
Normal	332	2	3	3	298	821.1	13893	190	21
Newest Customer	144	4	4	1	18	192.6	14768	52	5
Normal	233	3	3	2	114	339.44	17045	106	22
Highest Paying Customer	121	1	2	1	32	2647.59	16618	1363	96
Normal	122	2	2	1	31	761.38	16205	517	98
Best Customer	111	1	1	1	1	60767.9	15311	38194	2379
Best Customer	111	1	1	1	29	2924.99	17512	2753	105
Newest Customer	144	4	4	1	87	117.24	13877	108	3
Normal	344	4	4	3	247	102.12	14981	97	8
Normal	334	4	3	3	277	237.36	14586	444	19
Loyal Customer	112	2	1	1	12	1201.49	16800	540	164
Churn Customer	444	4	4	4	367	168.6	18269	76	7
Loyal Customer	112	2	1	1	8	1456.79	13309	1544	107
Normal	344	4	4	3	261	154.95	17698	93	8
Normal	323	3	2	3	200	400.1	17375	367	69
Normal	224	4	2	2	174	192.85	13568	70	44
Normal	122	2	2	1	19	971.74	17100	800	65
Normal	132	2	3	1	54	1077.74	16563	486	19
Normal	233	3	3	2	128	300.36	15254	275	18
Best Customer	111	1	1	1	4	2226.91	14825	991	121
Highest Paying Customer	231	1	3	2	127	1737.7	17457	826	19
Normal	324	4	2	3	365	203.1	15723	87	41
Normal	132	2	3	1	81	908.46	13038	360	28
Normal	344	4	4	3	297	76.32	16148	72	1
Normal	343	3	4	3	295	307.4	13932	72	16
Highest Paying Customer	131	1	3	1	18	3204.16	16107	1176	31
Normal	124	4	2	1	26	289.82	14953	225	55
Best Customer	111	1	1	1	3	1894.35	17870	1401	279
Normal	322	2	2	3	190	1000.27	15508	440	92
Best Customer	111	1	1	1	36	3563.85	17203	2850	152
Best Customer	111	1	1	1	27	3350.96	14227	1820	175
Normal	342	2	4	3	267	901.2	16716	120	2
Best Customer	111	1	1	1	31	2635.79	13804	1498	137
Loyal Customer	112	2	1	1	75	668.36	16383	475	102
Normal	332	2	3	3	331	689.95	18085	265	29
Normal	123	3	2	1	80	598.2	13959	357	92
Normal	134	4	3	1	8	174.37	13560	64	33
Normal	123	3	2	1	8	379.83	14594	185	53
Newest Customer	144	4	4	1	78	34.8	15744	120	3
Best Customer	111	1	1	1	2	5900.28	14415	3011	590
Normal	323	3	2	3	205	468.77	14896	279	43
Best Customer	111	1	1	1	4	3729.34	14282	2668	156
Normal	244	4	4	2	174	137.9	16050	278	10
Newest Customer	144	4	4	1	51	173.16	15565	60	8
Normal	122	2	2	1	26	1426.16	15681	816	53
Normal	133	3	3	1	24	564.62	13894	354	27
"Once Customer, Now Gone"	443	3	4	4	366	308.28	13369	149	14
Normal	334	4	3	3	202	180.94	15292	56	25
Newest Customer	144	4	4	1	41	215.08	16190	88	6
Loyal Customer	212	2	1	2	153	1004.75	17126	792	260
Newest Customer	144	4	4	1	81	242.35	16215	104	14
Best Customer	111	1	1	1	23	6403.25	13871	2806	336
Normal	122	2	2	1	81	810.57	16624	488	48
Normal	122	2	2	1	46	748.5	15656	343	47
Normal	122	2	2	1	2	1070.71	17522	1034	73
Normal	333	3	3	3	264	300.52	14762	341	21
Normal	243	3	4	2	123	533.98	13217	262	4
Highest Paying Customer	121	1	2	1	9	1856.63	12963	881	95
Newest Customer	143	3	4	1	61	357.77	17025	235	9
Normal	344	4	4	3	283	207.5	17923	50	1
Normal	132	2	3	1	10	922.53	15654	475	21
Highest Paying Customer	121	1	2	1	23	1680.72	16638	1255	94
Normal	343	3	4	3	236	304.25	16217	91	15
Normal	132	2	3	1	16	738.96	14756	416	38
Best Customer	111	1	1	1	2	7454.07	13263	4780	1677
Best Customer	111	1	1	1	1	31833.68	17389	7612	213
Normal	344	4	4	3	195	207.15	15925	93	12
Highest Paying Customer	121	1	2	1	43	1837.28	18287	1586	70
Loyal Customer	112	2	1	1	5	668.14	15031	401	111
Newest Customer	144	4	4	1	24	184.4	17680	96	11
Normal	122	2	2	1	9	1041.48	15434	647	55
Normal	334	4	3	3	260	171.8	14536	40	19
Normal	123	3	2	1	20	432.88	14157	284	48
Normal	244	4	4	2	174	177.34	13618	246	13
Normal	124	4	2	1	11	264.44	14452	119	62
Highest Paying Customer	121	1	2	1	62	2920.16	15606	892	77
Newest Customer	144	4	4	1	32	180.48	13710	176	8
Loyal Customer	112	2	1	1	11	1530.75	14321	2406	123
Normal	134	4	3	1	36	190.88	17233	131	25
Best Customer	111	1	1	1	48	3062.83	16686	2030	585
Normal	134	4	3	1	48	110.21	17836	88	24
Normal	122	2	2	1	13	1353.74	14859	671	58
Normal	122	2	2	1	23	992.71	16009	378	90
Normal	123	3	2	1	22	468.41	13171	229	46
Best Customer	111	1	1	1	43	2048.07	14232	1941	115
Normal	343	3	4	3	265	320.62	16096	155	12
Normal	232	2	3	2	117	688.86	13799	402	39
Newest Customer	144	4	4	1	15	100.9	14946	22	3
Highest Paying Customer	131	1	3	1	4	1651.03	16711	833	22
Highest Paying Customer	221	1	2	2	127	3613.63	13082	4324	73
Best Customer	111	1	1	1	4	2100.8	17861	1988	222
Normal	122	2	2	1	12	707.04	16364	280	53
Best Customer	111	1	1	1	2	1661.44	15214	1254	110
Normal	122	2	2	1	32	1086.92	15763	271	61
Newest Customer	144	4	4	1	71	190.25	13972	187	15
Normal	233	3	3	2	139	435.02	16948	1614	19
Best Customer	111	1	1	1	1	259657.3	18102	64124	431
Loyal Customer	112	2	1	1	41	1112.22	17609	723	237
Normal	122	2	2	1	71	948.88	12822	550	46
Newest Customer	143	3	4	1	73	601.56	14609	7026	4
Normal	323	3	2	3	284	447.22	15456	660	60
Normal	133	3	3	1	37	587.15	17351	113	27
Normal	133	3	3	1	16	460.64	16824	236	26
Best Customer	111	1	1	1	24	2709.12	13285	2051	187
Best Customer	111	1	1	1	4	5074.77	14562	1834	423
Newest Customer	144	4	4	1	36	247.96	13592	84	16
Best Customer	111	1	1	1	16	6316.57	15005	4247	1119
Best Customer	111	1	1	1	8	2567.06	18245	1788	175
Highest Paying Customer	121	1	2	1	10	5126.76	15903	2410	74
Best Customer	111	1	1	1	97	2424.04	17722	1595	115
Newest Customer	143	3	4	1	9	423.36	16119	240	16
Normal	322	2	2	3	186	683.46	17874	221	46
Normal	123	3	2	1	97	599	14965	365	83
Highest Paying Customer	121	1	2	1	6	1747.66	13808	782	76
Normal	222	2	2	2	121	1021.58	14346	605	60
Normal	122	2	2	1	93	991.13	14223	585	60
Best Customer	111	1	1	1	1	4436.12	13069	5885	425
Normal	134	4	3	1	27	155.24	16720	182	27
Normal	122	2	2	1	8	787.6	13884	300	59
Normal	222	2	2	2	162	1145.84	17505	556	52
Normal	133	3	3	1	82	323.69	15675	527	21
Normal	123	3	2	1	29	413.75	17052	261	92
Normal	123	3	2	1	73	482.2	17950	366	71
Normal	123	3	2	1	27	572.56	13379	601	97
Newest Customer	143	3	4	1	32	409.5	12990	200	13
Normal	344	4	4	3	187	129.49	16611	47	10
Normal	132	2	3	1	92	671.96	14628	272	24
Best Customer	111	1	1	1	3	5870.08	13534	2961	296
Highest Paying Customer	141	1	4	1	3	3861	15195	1404	1
Churn Customer	444	4	4	4	373	248.1	16510	92	13
Normal	224	4	2	2	142	196	17660	130	45
Best Customer	111	1	1	1	5	7060.13	13985	3447	351
Highest Paying Customer	121	1	2	1	10	2614.74	15782	864	43
Normal	334	4	3	3	300	289.78	16897	73	37
Normal	133	3	3	1	45	575.41	16345	289	38
Highest Paying Customer	121	1	2	1	89	2262.62	16209	1179	46
Best Customer	111	1	1	1	4	11189.91	12971	9289	305
Normal	132	2	3	1	87	1030.14	17033	750	28
Normal	333	3	3	3	193	457.34	13398	281	26
Normal	133	3	3	1	59	501.56	13865	204	30
Normal	223	3	2	2	135	408.36	17931	249	65
Normal	133	3	3	1	65	570.5	15315	862	37
Newest Customer	144	4	4	1	47	278.3	14764	190	6
Normal	344	4	4	3	362	145	17524	90	6
Newest Customer	143	3	4	1	8	319	17157	172	13
Normal	122	2	2	1	20	1501.38	16762	618	89
Newest Customer	144	4	4	1	71	74.4	13095	144	6
Highest Paying Customer	311	1	1	3	220	1693.45	14245	976	108
Normal	244	4	4	2	107	17	16093	20	1
Churn Customer	444	4	4	4	368	230.4	13786	136	7
Normal	344	4	4	3	320	155	14368	36	8
Normal	333	3	3	3	311	311.01	17912	185	38
Normal	123	3	2	1	33	398.84	15522	573	57
Normal	133	3	3	1	26	394.38	16207	140	19
Normal	133	3	3	1	30	372.22	12981	242	20
Normal	133	3	3	1	16	500.42	16616	370	33
Normal	133	3	3	1	51	386.43	15664	157	17
Normal	234	4	3	2	129	208.65	17514	135	40
Best Customer	111	1	1	1	31	4151.93	13384	2422	152
Normal	322	2	2	3	233	876.42	14770	490	52
Normal	122	2	2	1	86	1100.9	17047	533	65
Normal	243	3	4	2	131	304.56	17941	252	2
Normal	122	2	2	1	25	867.38	14715	521	71
Normal	132	2	3	1	89	933.7	12924	481	30
Normal	344	4	4	3	219	179	16990	100	1
Normal	132	2	3	1	41	895.13	15865	368	40
Newest Customer	144	4	4	1	92	296.64	13441	204	13
Normal	222	2	2	2	102	1049.37	14078	310	65
Loyal Customer	112	2	1	1	51	1498.51	17571	905	299
Loyal Customer	213	3	1	2	157	351.67	15334	274	99
Normal	222	2	2	2	113	1220.26	14745	1038	69
Normal	332	2	3	3	192	664	15643	246	33
Normal	234	4	3	2	108	213.55	13411	72	18
Best Customer	111	1	1	1	36	2949.75	17084	1816	162
Normal	223	3	2	2	166	430.94	15976	277	98
Normal	124	4	2	1	39	165.75	14485	71	47
Best Customer	111	1	1	1	45	5228.05	18226	3466	242
Newest Customer	144	4	4	1	44	193.44	16847	78	12
Best Customer	111	1	1	1	5	65164.79	14096	16352	5111
Normal	132	2	3	1	61	747.44	14201	590	37
Loyal Customer	212	2	1	2	104	801.49	16806	378	103
Best Customer	111	1	1	1	17	2534.64	17700	1266	142
Normal	244	4	4	2	121	15	13307	4	1
Highest Paying Customer	121	1	2	1	27	2043.72	13450	1982	71
Normal	132	2	3	1	30	681.91	18135	349	20
Loyal Customer	112	2	1	1	12	1546.91	14704	1082	415
Normal	122	2	2	1	9	1335.19	12919	673	50
Best Customer	111	1	1	1	3	1908.25	16426	1243	372
Normal	344	4	4	3	246	266.4	15119	88	14
Loyal Customer	112	2	1	1	16	1438.85	15858	1167	191
Best Customer	111	1	1	1	9	3622.68	17576	1994	411
Normal	133	3	3	1	37	436.06	15551	218	29
Best Customer	111	1	1	1	3	17220.36	13767	7322	368
Highest Paying Customer	121	1	2	1	3	2612.96	14397	1890	87
Best Customer	111	1	1	1	30	2238.09	16743	2047	191
Normal	233	3	3	2	155	333.97	14264	70	17
Normal	343	3	4	3	202	306.13	17176	170	15
Normal	344	4	4	3	226	112.25	17893	161	16
Loyal Customer	112	2	1	1	27	948.05	15787	540	206
Normal	232	2	3	2	174	720.52	18062	396	27
Best Customer	111	1	1	1	34	3964.88	13523	1752	172
Normal	222	2	2	2	139	868.49	17649	399	52
Loyal Customer	213	3	1	2	108	549.07	16340	501	153
Normal	333	3	3	3	361	365.45	16499	127	19
Normal	333	3	3	3	267	344.9	14633	96	20
Loyal Customer	112	2	1	1	10	1418.26	15444	764	219
Normal	344	4	4	3	264	298.11	17678	207	16
Highest Paying Customer	121	1	2	1	54	2107.66	13265	1752	91
Normal	223	3	2	2	101	425.19	16780	271	60
Normal	134	4	3	1	34	125.58	15017	63	20
